video_id,canonical_url,first_seen_utc,last_seen_utc,attempt_count,scored_count,error_count,first_score_utc,first_credibility_score,latest_score_utc,latest_credibility_score,improvement_points_latest_minus_first,improvement_percent_latest_vs_first,best_credibility_score,worst_credibility_score,first_generation_origin_score,latest_generation_origin_score,trend,sample_raw_url,source_files_count
-0zn0OySe-4,https://www.youtube.com/shorts/-0zn0OySe-4,2026-03-05T10:08:10Z,2026-03-05T10:08:10Z,2,2,0,2026-03-05T10:08:10Z,67.35,2026-03-05T10:08:10Z,67.35,0.0,0.0,67.35,67.35,1.3,1.3,no_change,https://youtube.com/shorts/-0zn0OySe-4?si=24Z7NMFKhg9YZWnw,2
-62LmMmalEc,https://www.youtube.com/shorts/-62LmMmalEc,2026-03-04T12:29:08Z,2026-03-04T12:29:08Z,1,1,0,2026-03-04T12:29:08Z,68.18,2026-03-04T12:29:08Z,68.18,0.0,0.0,68.18,68.18,,,no_change,https://youtube.com/shorts/-62LmMmalEc,1
-GLmQFkoH9Y,https://www.youtube.com/shorts/-GLmQFkoH9Y,2026-03-02T13:36:43Z,2026-03-02T13:41:29Z,3,1,2,2026-03-02T13:41:29Z,67.46,2026-03-02T13:41:29Z,67.46,0.0,0.0,67.46,67.46,1.3,1.3,no_change,https://youtube.com/shorts/-GLmQFkoH9Y?si=-MfA00gvhP0h2DKA,3
-H_UqtI36_Y,https://www.youtube.com/shorts/-H_UqtI36_Y,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,70.5,2026-03-04T11:16:24Z,70.5,0.0,0.0,70.5,70.5,,,no_change,https://youtube.com/shorts/-H_UqtI36_Y,2
-Nf6tZst7fw,https://www.youtube.com/shorts/-Nf6tZst7fw,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,70.09,2026-03-05T14:08:29Z,70.09,0.0,0.0,70.09,70.09,1.31,1.31,no_change,https://www.youtube.com/shorts/-Nf6tZst7fw,17
-OS-jgxL6Fk,https://www.youtube.com/shorts/-OS-jgxL6Fk,2026-02-26T09:46:27Z,2026-02-26T10:06:04Z,6,6,0,2026-02-26T09:46:27Z,97.0,2026-02-26T10:06:04Z,97.0,0.0,0.0,97.0,97.0,92.0,92.0,no_change,https://youtube.com/shorts/-OS-jgxL6Fk,6
-OfOCjjYj-A,https://www.youtube.com/shorts/-OfOCjjYj-A,2026-03-02T13:47:57Z,2026-03-02T13:47:57Z,1,1,0,2026-03-02T13:47:57Z,67.87,2026-03-02T13:47:57Z,67.87,0.0,0.0,67.87,67.87,1.3,1.3,no_change,https://youtube.com/shorts/-OfOCjjYj-A?si=YjY-oTneHKyA0Wyt,1
-Q0wUAPPTqY,https://www.youtube.com/shorts/-Q0wUAPPTqY,2026-02-26T09:46:27Z,2026-02-26T10:06:04Z,6,6,0,2026-02-26T09:46:27Z,75.0,2026-02-26T10:06:04Z,75.0,0.0,0.0,75.0,75.0,92.0,92.0,no_change,https://youtube.com/shorts/-Q0wUAPPTqY,6
-SbUdWOnqVk,https://www.youtube.com/shorts/-SbUdWOnqVk,2026-02-26T09:46:27Z,2026-02-26T10:13:46Z,8,8,0,2026-02-26T09:46:27Z,97.0,2026-02-26T10:13:46Z,75.0,-22.0,-22.68,97.0,75.0,92.0,92.0,declined,https://youtube.com/shorts/-SbUdWOnqVk,8
-TjojsxYU6U,https://www.youtube.com/shorts/-TjojsxYU6U,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,67.35,2026-03-05T14:08:29Z,67.35,0.0,0.0,67.35,67.35,1.3,1.3,no_change,https://www.youtube.com/shorts/-TjojsxYU6U,17
-YVO1tqGKZw,https://www.youtube.com/shorts/-YVO1tqGKZw,2026-03-03T14:11:30Z,2026-03-04T11:19:36Z,3,2,1,2026-03-04T11:16:24Z,67.98,2026-03-04T11:19:36Z,67.98,0.0,0.0,67.98,67.98,,,no_change,https://youtube.com/shorts/-YVO1tqGKZw,3
-Z4GZCN4V8A,https://www.youtube.com/shorts/-Z4GZCN4V8A,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,67.77,2026-03-05T14:08:29Z,67.77,0.0,0.0,67.77,67.77,1.3,1.3,no_change,https://www.youtube.com/shorts/-Z4GZCN4V8A,17
-bH2duR3224,https://www.youtube.com/shorts/-bH2duR3224,2026-03-04T12:29:08Z,2026-03-04T12:29:08Z,1,1,0,2026-03-04T12:29:08Z,68.08,2026-03-04T12:29:08Z,68.08,0.0,0.0,68.08,68.08,,,no_change,https://youtube.com/shorts/-bH2duR3224,1
-c9uoXJsJhA,https://www.youtube.com/shorts/-c9uoXJsJhA,2026-02-26T09:46:27Z,2026-02-26T10:06:04Z,6,6,0,2026-02-26T09:46:27Z,75.0,2026-02-26T10:06:04Z,75.0,0.0,0.0,75.0,75.0,92.0,92.0,no_change,https://youtube.com/shorts/-c9uoXJsJhA,6
-fxP8NSln68,https://www.youtube.com/shorts/-fxP8NSln68,2026-03-03T12:05:33Z,2026-03-03T12:05:33Z,1,1,0,2026-03-03T12:05:33Z,68.08,2026-03-03T12:05:33Z,68.08,0.0,0.0,68.08,68.08,1.3,1.3,no_change,https://youtube.com/shorts/-fxP8NSln68?si=nkVRCEvx6imU7W5b,1
-grOHmo_pLU,https://www.youtube.com/shorts/-grOHmo_pLU,2026-03-02T05:04:40Z,2026-03-02T05:31:45Z,4,4,0,2026-03-02T05:04:40Z,67.77,2026-03-02T05:31:45Z,67.77,0.0,0.0,67.77,67.77,1.38,1.38,no_change,https://youtube.com/shorts/-grOHmo_pLU?si=QAmSkIRZbgYFBsgC,4
-tiL6bYd0rA,https://www.youtube.com/shorts/-tiL6bYd0rA,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,70.71,2026-03-05T10:23:59Z,70.71,0.0,0.0,70.71,70.71,1.31,1.31,no_change,https://youtube.com/shorts/-tiL6bYd0rA?si=EUtI7WZsb-dAovre,2
