credibility_score,credibility_vs_reconstructed_delta,evidence_asr_tokens,evidence_caption_tokens,evidence_level,evidence_ocr_tokens,evidence_quality_score,evidence_total_tokens,evidence_transcript_tokens,generation_origin_excluded_from_credibility,generation_origin_level,generation_origin_rationale,generation_origin_score,manipulation_score,misinformation_score,notes,reconstructed_credibility_score,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url,weighted_evidence_quality_penalty,weighted_manipulation_penalty,weighted_misinformation_penalty,weighted_scam_penalty,weighted_total_penalty,weighted_uncertainty_penalty
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/p/DVOJgPIDZNk/?igsh=NjFhOGMzYTE3ZQ==,11.502,0.0,6.12,2.4,28.182,8.16
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/p/DVZD6Uuk4zD/?igsh=NjFhOGMzYTE3ZQ==,11.502,0.0,6.12,2.4,28.182,8.16
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/p/DShfAvsgCF_/?igsh=MzRlODBiNWFlZA==,11.502,0.0,6.12,2.4,28.182,8.16
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/p/DTlvBVLAPAD/?igsh=MzRlODBiNWFlZA==,11.502,0.0,6.12,2.4,28.182,8.16
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/reel/DVezcoAE448/?igsh=MzRlODBiNWFlZA==,11.502,0.0,6.12,2.4,28.182,8.16
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/reel/DVbP3COjcDw/?igsh=NjFhOGMzYTE3ZQ==,11.502,0.0,6.12,2.4,28.182,8.16
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/reel/DPQ7SOwAv8J/?igsh=NjFhOGMzYTE3ZQ==,11.502,0.0,6.12,2.4,28.182,8.16
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/reel/DVd-8ooATsB/?igsh=NjFhOGMzYTE3ZQ==,11.502,0.0,6.12,2.4,28.182,8.16
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/p/DVd9lq-jHHG/?igsh=NjFhOGMzYTE3ZQ==,11.502,0.0,6.12,2.4,28.182,8.16
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/reel/DVa1XATCpSj/?igsh=NjFhOGMzYTE3ZQ==,11.502,0.0,6.12,2.4,28.182,8.16
52.63,-19.188,0,1,low,0,95.85,1,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Normalized input URL to canonical format before analysis. | Auto-ingested Instagram metadata from page markup. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.16.,71.82,10.0,,,68.0,https://www.instagram.com/reel/DVb2YL_ky0c/?igsh=NjFhOGMzYTE3ZQ==,11.502,0.0,6.12,2.4,28.182,8.16
