error,url
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/fS6xLtxDFg4?si=HOZzTNdK4cEiI3ew
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/a6rmSbtRyD4?si=pbA_P5xuNe1wB6t2
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/CnMNVq5l7ss?si=IXh-lWZP-HHy-91K
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/Dfjt6v9meaU?si=REszjN06-uL1IOGi
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/De4sEckr9nc?si=AhIpwCyuUx-5ZXCB
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/mzX3DSh-AW4?si=ya24tmfKXRH0YVb3
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/sSPIAs2-StI?si=N2mympdgVpOZzKnq
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/udEJ26gXumQ?si=kgVXuCXuCnr1xTmE
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/rgCSH_wEKaQ?si=O7amAOirTXN9vv7g
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/WFkmE5Xp2Yg?si=K1Ks8-jG_lqfwl2b
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/mnyXivG8eww?si=7FXt3xCpJCl9Gl8y
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/-GLmQFkoH9Y?si=-MfA00gvhP0h2DKA
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/Y-Z30gr7oGw?si=PdzOlng8Lkv7l9kk
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/KydlnfxqlJ4?si=FbXeauPUtdw0IjwC
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/TAmKapAy0cM?si=lG3S-YuQR8NH1NpM
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/PCcP_0rAsjo?si=AXf5hTAybwxYVB8z
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/1FhtkTiYR7s?si=6KpiF7sIfL3vo3uw
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/fRrzmBmyxJI?si=PwbWDMGG5zYy9loT
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/26_TLR61g30?si=QXd5WUhoP-65V-CL
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/9hpYZt0VCVY?si=bQC9Ski_UQRELEnK
