caption_chars,credibility_score,error,error_category,generation_origin,generation_origin_score,ingest_notes,job_id,status,top_claim_status,transcript_chars,url
188,68.18,,ingest:no_transcript_subtitles_unavailable,low,1.67,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: 03am_music). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,d9b7d0157a1a409d9acf5b234a866e99,completed,not_enough_evidence,0,https://youtube.com/shorts/CjW3UBdX7II?si=C51FC3ZuRktsXp-4
155,69.57,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Samverse). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,7c3662ab12aa47bc8c0c89ac557dba2a,completed,not_enough_evidence,8,https://youtube.com/shorts/MNTNiTXRG_U?si=DdYARdMZ0yK7tTqJ
188,70.29,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Upsc wale(Shreya Pandey)). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,2186289c830a49e181acc74db46f5efb,completed,not_enough_evidence,28,https://youtube.com/shorts/Njn9roNiClA?si=O4QZnvY4fZW_TP_g
187,70.81,,ingest:metadata_fallback_used,low,1.55,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Hania Create). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,8d47af931f5d4e838fef874ec092eee4,completed,not_enough_evidence,53,https://youtube.com/shorts/PdK227gJtXg?si=MXNGPdFI7V6hGisH
113,67.04,,ingest:no_transcript_subtitles_unavailable,low,1.37,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: SP99-EDIT_SONG). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: skipped (insufficient extracted text).,0eb46fd6d85f421f917a9513cd1365ca,completed,not_enough_evidence,0,https://youtube.com/shorts/ZKqKJUdihI0?si=BgDOBURifUoacOon
156,70.09,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: themellowdoodles). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,64a6511fa8714024974208c188209f05,completed,not_enough_evidence,9,https://youtube.com/shorts/_4TIieOV02I?si=UKe6saY85YpyJnqM
151,69.98,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Eric & Mani). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,440e95c80dcc4f8f9fefb348148dd377,completed,not_enough_evidence,33,https://youtube.com/shorts/bYHpyMVRM-Q?si=W7IHrTOHQzNKwyMY
193,68.18,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Niswoman). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,3ef537b082104c9a8bc8e1fde5690387,completed,not_enough_evidence,0,https://youtube.com/shorts/s4qUhg0hSl8?si=tw5DZQ0EQlwY-J95
180,69.98,,ingest:metadata_fallback_used,low,1.63,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Shorts Break). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,d74644b6ab424ff086c1f4b55db21ccf,completed,not_enough_evidence,9,https://youtube.com/shorts/svsVL2zlCz0?si=CnYUydvB-7rfF9Mp
128,69.67,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Pratik Chauhan). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,91d7980c9b614ce7a4a14067b9b3bad9,completed,not_enough_evidence,23,https://youtube.com/shorts/uuGNKonz8Fk?si=npcq4QYlj3saXLGY
